industry,Total_F2010,Total_F2011,Total_F2012,Total_F2013,Total_F2014,Total_F2015,Total_F2016,Total_F2017,Total_F2018,Total_F2019,Total_F2020,Total_F2021,Total_F2022
"Agriculture, Forestry and Fishing",61777.55032497303,62300.880579650984,62281.22761856697,63369.25652302104,63595.66209389203,64177.157077364005,64198.134200375986,64485.24893383001,64880.92511753497,65011.254787153,65374.43816966398,66090.081447409,66296.39981475202
Construction,7947.428712380999,7865.397534087002,7952.763958495002,8079.631041918,8118.759073212003,8248.451617849998,8230.667557489998,8167.443265707001,8316.317986125996,8410.533699578,8355.622590825998,8700.181132459997,8866.681858322996
"Electricity, Gas, Steam and Air Conditioning Supply",128973.40758720104,134107.496365008,136908.41784360804,138957.12265703402,139799.864149828,136380.52017701595,134117.86074091605,136667.32042290506,140649.657017575,139016.859217651,134680.6636167389,144014.58019793502,145494.58459617902
Manufacturing,99021.68238879001,103188.232150835,104697.898813128,106416.91672824911,107633.94617208204,105832.18385406797,102521.27955744397,103709.32911232005,106161.692114829,107340.19960363599,105690.713012063,109953.47496483302,109993.99678452197
Mining,41870.24311782701,44029.24787578601,44754.50642455403,44707.116961145,45253.946330451996,44297.23057042098,43241.996049002,44063.05685412899,45714.27037502199,46204.805374016985,44200.005667369,45586.496464724994,47055.327554933
"Other Services Industries",18751.00103254601,18299.980725752008,18059.61597370001,18614.279389660995,18678.68009682801,19509.113869699,18792.388560977008,18996.049522495992,19221.383360720003,19339.853799576,18233.420353476,18794.757386199002,19272.881713939994
"Total Households",49924.426206243996,49934.68038132401,50257.035083696996,51548.416931019994,51725.723864733,52117.89954928701,52024.850518278,52747.552508926,53580.73490811497,53267.879649082,48357.42072589899,51268.67105088399,51753.118736319004
"Total Industry and Households",466787.08029395086,479597.201588712,485837.8366472911,493884.70553760417,498065.03708881687,495597.54369852087,488894.1001549398,496567.985580835,507991.268973965,508348.6627499932,488244.7541855893,510707.3048414153,517510.52145039896
"Transportation and Storage",37226.472107216,38265.19997948901,38910.728294789,39819.75513611999,40548.13073115698,41946.93548979701,42334.95454425602,43865.059191698994,45200.735135794974,45214.381891278,38615.65095379701,41166.68300099699,43223.751228475
"Water supply; sewerage, waste management and remediation activities",21294.868828823015,21606.08600752999,22015.642605242003,22372.210151430012,22710.324593395002,23088.051516736003,23431.968427024003,23866.925765299,24265.552956559997,24542.89472432699,24736.819113859,25132.379217493002,25553.779166980003
